PlayerTeeSG,TeeSG,PlayerAppSG,AppSG,PlayerAroSG,AroSG,PlayerPuttSG,PuttSG,PlayerDriveDist,DriveDist,PlayerDriveAcc,DriveAcc
"MCILROY, Rory",1.207,"BJÖRK, Alexander",1.23,"HARRINGTON, Padraig",0.737,"VINCENT, Scott",1.416,"FISHER, Ross",326.5,"SANDHU, Ajeetesh",0.79
"RAHM, Jon",1.185,"PAVAN, Andrea",1.2,"TANIHARA, Hideto",0.641,"PAISLEY, Chris",1.097,"MCILROY, Rory",323.9,"CHESTERS, Ashley",0.73
"FLEETWOOD, Tommy",1.095,"ROSE, Justin",1.116,"MOLINARI, Edoardo",0.601,"BROWN, Steven",0.965,"PORTEOUS, Haydn",322.3,"PETERSON, Paul",0.71
"GUERRIER, Julien",0.978,"PEPPERELL, Eddie",1.086,"SCHWARTZEL, Charl",0.565,"DUNNE, Paul",0.95,"FOX, Ryan",321.2,"RAI, Aaron",0.71
"SULLIVAN, Andy",0.943,"SHARMA, Shubhankar",1.002,"RUMFORD, Brett",0.545,"NIXON, Matthew",0.904,"BURMESTER, Dean",318.6,"BHULLAR, Gaganjeet",0.7
"LI, Haotong",0.904,"GRACE, Branden",0.976,"APHIBARNRAT, Kiradech",0.516,"BEZUIDENHOUT, Christiaan",0.858,"GROS, Sébastien",317.2,"KIEFFER, Maximilian",0.7
"DANTORP, Jens",0.862,"DONALDSON, Jamie",0.968,"BJØRN, Thomas",0.484,"SULLIVAN, Andy",0.811,"PARATORE, Renato",316.3,"ZANOTTI, Fabrizio",0.69
"ROSE, Justin",0.855,"LOWRY, Shane",0.96,"ORIOL, Pedro",0.48,"KINHULT, Marcus",0.798,"COETZEE, George",314.2,"STENSON, Henrik",0.69
"GARCIA, Sergio",0.833,"LUITEN, Joost",0.953,"ORMSBY, Wade",0.476,"CAMPILLO, Jorge",0.749,"THOMSON, Jonathan",312.3,"OTAEGUI, Adrian",0.68
"ORIOL, Pedro",0.816,"MCILROY, Rory",0.945,"LORENZO-VERA, Mike",0.475,"EVANS, Ryan",0.745,"ORIOL, Pedro",312.1,"LUITEN, Joost",0.68
"BURMESTER, Dean",0.783,"WESTWOOD, Lee",0.943,"PEPPERELL, Eddie",0.453,"LARRAZÁBAL, Pablo",0.722,"ANGLES, Pep",311.8,"ORMSBY, Wade",0.68
"SHINKWIN, Callum",0.758,"FRITTELLI, Dylan",0.941,"WARREN, Marc",0.414,"PAVAN, Andrea",0.722,"HERBERT, Lucas",311.8,"AGUILAR, Felipe",0.68
"NEIL, Bradley",0.714,"SCRIVENER, Jason",0.917,"FDEZ-CASTAÑO, Gonzalo",0.407,"WOOD, Chris",0.696,"GREEN, Gavin",311.7,"FLEETWOOD, Tommy",0.68
"SMITH, Jordan",0.7,"DRYSDALE, David",0.885,"WIDEGREN, Pontus",0.401,"HATTON, Tyrrell",0.694,"NEIL, Bradley",311.5,"MCEVOY, Richard",0.67
"HEISELE, Sebastian",0.674,"FLEETWOOD, Tommy",0.818,"DUNNE, Paul",0.4,"KORHONEN, Mikko",0.667,"PULKKANEN, Tapio",310.6,"SMITH, Jordan",0.67
"MOLINARI, Francesco",0.649,"POULTER, Ian",0.768,"SURI, Julian",0.393,"GREEN, Gavin",0.644,"CAÑIZARES, Alejandro",310.6,"ROSE, Justin",0.67
