PlayerTeeSG,TeeSG,PlayerAppSG,AppSG,PlayerAroSG,AroSG,PlayerPuttSG,PuttSG,PlayerDriveDist,DriveDist,PlayerDriveAcc,DriveAcc
Dustin Johnson,0.919,Henrik Stenson,0.96,Aaron Baddeley,0.595,Greg Chalmers,0.79,Rory McIlroy,319.7,Henrik Stenson,75.19
Jon Rahm,0.817,Keegan Bradley,0.888,Patrick Reed,0.545,Jason Day,0.77,Trey Mullinax,318.3,Ryan Armour,73.58
Gary Woodland,0.803,Tiger Woods,0.883,Jamie Lovemark,0.519,Alexander Noren,0.758,Tom Lovelady,315.9,Chez Reavie,72.24
Luke List,0.795,Justin Thomas,0.844,Alex Cejka,0.495,Daniel Summerhays,0.736,Tony Finau,315.1,Ryan Moore,71.94
Bubba Watson,0.78,Dustin Johnson,0.829,Jason Day,0.479,Webb Simpson,0.692,Luke List,314.6,Brian Stuard,71.44
Rory McIlroy,0.761,Hideki Matsuyama,0.727,Justin Rose,0.45,Beau Hossler,0.685,Dustin Johnson,314,Brian Gay,71.37
Keith Mitchell,0.706,Stewart Cink,0.698,Zach Johnson,0.425,Johnson Wagner,0.623,Gary Woodland,313.5,Kyle Stanley,71.29
Francesco Molinari,0.69,Adam Scott,0.639,Louis Oosthuizen,0.408,Peter Malnati,0.619,Brooks Koepka,313.4,Emiliano Grillo,70.16
Brooks Koepka,0.658,Chesson Hadley,0.606,Wesley Bryan,0.407,Patrick Rodgers,0.561,Bubba Watson,313.1,Russell Henley,70.03
Patrick Cantlay,0.622,Francesco Molinari,0.593,Zac Blair,0.394,Emiliano Grillo,0.546,Keith Mitchell,312.6,Jim Furyk,69.91
Kevin Chappell,0.608,Paul Casey,0.586,Tiger Woods,0.385,Kevin Na,0.533,Justin Thomas,311.8,Steve Wheatcroft,69.79
Bryson DeChambeau,0.586,Bryson DeChambeau,0.556,Kevin Na,0.373,Kevin Kisner,0.513,Brendan Steele,310.3,Kevin Streelman,69.11
Tommy Fleetwood,0.58,Phil Mickelson,0.555,Webb Simpson,0.37,Phil Mickelson,0.51,Kevin Tway,310.1,C.T. Pan,68.98
J.B. Holmes,0.565,Scott Piercy,0.553,Bill Haas,0.368,Seamus Power,0.498,Jason Day,310,David Lingmerth,68.93
Brendan Steele,0.557,Daniel Berger,0.543,Luke List,0.349,Michael Thompson,0.498,Jason Kokrak,309.5,Keegan Bradley,67.9
Justin Rose,0.551,Ryan Moore,0.532,Jonathan Byrd,0.339,Graeme McDowell,0.478,Jon Rahm,308.9,Rafa Cabrera Bello,67.85
Billy Horschel,0.538,Justin Rose,0.526,Francesco Molinari,0.327,Brandt Snedeker,0.478,Kevin Chappell,308.6,Billy Horschel,67.8
Lucas Glover,0.514,Chris Kirk,0.518,Rory McIlroy,0.322,Denny McCarthy,0.449,Harold Varner III,308.2,Russell Knox,67.7
Trey Mullinax,0.506,Patrick Cantlay,0.509,Brandt Snedeker,0.318,Brian Gay,0.442,Byeong Hun An,307.9,Ben Crane,67.52
Corey Conners,0.501,Tony Finau,0.5,Justin Thomas,0.311,Whee Kim,0.427,Robert Garrigus,307.9,Vaughn Taylor,67.51
Kiradech Aphibarnrat,0.485,Rickie Fowler,0.494,Tommy Fleetwood,0.296,Justin Rose,0.424,Nick Watney,307.5,Brian Harman,67.14
Tony Finau,0.481,Rafa Cabrera Bello,0.487,Marc Leishman,0.292,Brett Stegmaier,0.401,Grayson Murray,307.3,Sam Ryder,66.91
Byeong Hun An,0.475,Webb Simpson,0.486,Si Woo Kim,0.291,Billy Horschel,0.392,Tommy Fleetwood,306.9,Ted Potter Jr.,66.83
Hunter Mahan,0.465,Gary Woodland,0.484,Ryan Moore,0.273,Jim Furyk,0.389,J.B. Holmes,306.1,Austin Cook,66.76
Kevin Streelman,0.439,Tyler Duncan,0.476,Adam Hadwin,0.267,Dustin Johnson,0.385,Bryson DeChambeau,305.7,Tyler Duncan,66.74
Henrik Stenson,0.427,Russell Henley,0.467,Ricky Barnes,0.257,Bud Cauley,0.367,Adam Schenk,305.5,David Hearn,66.63
Aaron Wise,0.41,Zach Johnson,0.463,Peter Malnati,0.255,Derek Fathauer,0.363,Ryan Palmer,305.2,Alex Cejka,66.49
Justin Thomas,0.408,Byeong Hun An,0.448,Brian Gay,0.253,Wesley Bryan,0.36,Xander Schauffele,304.9,Ian Poulter,66.41
Ryan Moore,0.406,Chez Reavie,0.437,Tyrrell Hatton,0.252,Nicholas Lindheim,0.355,Adam Scott,304.6,Joel Dahmen,66.36
Louis Oosthuizen,0.401,Ian Poulter,0.435,Ollie Schniederjans,0.25,Branden Grace,0.35,Matt Jones,304.5,Kevin Kisner,66.33
J.T. Poston,0.381,Kevin Streelman,0.415,Rickie Fowler,0.242,Matt Kuchar,0.348,Paul Casey,304.3,J.J. Henry,66.22
Tom Lovelady,0.379,J.J. Spaun,0.41,Bud Cauley,0.239,Bryson DeChambeau,0.346,Jhonattan Vegas,303.6,J.J. Spaun,66.18
Kyle Stanley,0.378,Jordan Spieth,0.409,Dustin Johnson,0.238,Hunter Mahan,0.346,Tiger Woods,303.6,Justin Rose,66.02
Grayson Murray,0.375,Tommy Fleetwood,0.405,Jim Furyk,0.235,Ricky Barnes,0.338,Patrick Rodgers,303.5,Kelly Kraft,65.84
Emiliano Grillo,0.364,Sam Ryder,0.399,Rory Sabbatini,0.234,Tyrrell Hatton,0.335,Justin Rose,303.5,Conrad Shindler,65.77
Jason Kokrak,0.36,Retief Goosen,0.389,Johnson Wagner,0.226,Ben Crane,0.332,Corey Conners,303.3,Scott Piercy,65.68
Sam Saunders,0.35,Joel Dahmen,0.381,Tony Finau,0.222,Ollie Schniederjans,0.325,Jamie Lovemark,303.2,Adam Hadwin,65.6
Matt Jones,0.333,Patton Kizzire,0.381,Cameron Smith,0.218,Tommy Fleetwood,0.324,Patrick Cantlay,303.1,Ben Silverman,65.56
Shane Lowry,0.331,Andrew Putnam,0.38,Matt Kuchar,0.211,Jimmy Walker,0.324,Brandon Harkins,303.1,Satoshi Kodaira,65.53
Abraham Ancer,0.325,David Hearn,0.379,Cameron Percy,0.21,Daniel Berger,0.319,Aaron Wise,302.9,Rickie Fowler,65.33
Charles Howell III,0.324,Scott Stallings,0.373,Martin Laird,0.209,Austin Cook,0.315,Bronson Burgoon,302.8,Xinjun Zhang,65.33
James Hahn,0.323,Bronson Burgoon,0.371,Jonas Blixt,0.196,Dominic Bozzelli,0.308,Sam Saunders,302.8,Kiradech Aphibarnrat,65.12
Bronson Burgoon,0.309,Mackenzie Hughes,0.353,Ryan Armour,0.194,Rickie Fowler,0.296,Hudson Swafford,302.8,Pat Perez,65.09
Joel Dahmen,0.3,Billy Horschel,0.352,William McGirt,0.194,Martin Laird,0.282,Sean O'Hair,302.7,Lucas Glover,65.06
Adam Scott,0.3,Cameron Tringale,0.348,Matt Jones,0.192,Rafa Cabrera Bello,0.273,Seamus Power,302.6,Richy Werenski,65.06
Jhonattan Vegas,0.294,Emiliano Grillo,0.345,Chris Kirk,0.19,Brian Harman,0.273,Lanto Griffin,302.5,Hunter Mahan,65.04
J.J. Spaun,0.286,J.J. Henry,0.34,Andrew Putnam,0.187,Justin Thomas,0.272,Harris English,302.4,Francesco Molinari,65.04
Beau Hossler,0.281,Robert Garrigus,0.331,Tyrone Van Aswegen,0.187,Tiger Woods,0.266,Peter Uihlein,302.2,Fabián Gómez,64.99
Tyler Duncan,0.273,Vaughn Taylor,0.305,Ben Crane,0.184,Michael Kim,0.259,Hideki Matsuyama,302,Tommy Fleetwood,64.98
Jordan Spieth,0.271,Jimmy Walker,0.304,Jordan Spieth,0.184,Jonas Blixt,0.244,Matt Atkins,301.4,Graeme McDowell,64.92
Kevin Tway,0.271,Kyle Stanley,0.298,Austin Cook,0.179,Ben Silverman,0.238,Ollie Schniederjans,301.4,Louis Oosthuizen,64.81
Rafa Cabrera Bello,0.256,Tom Hoge,0.297,Jon Rahm,0.176,Aaron Wise,0.238,Cody Gribble,301,Chad Campbell,64.7
Jason Dufner,0.256,Kevin Chappell,0.296,Stephan Jaeger,0.175,Tony Finau,0.232,Francesco Molinari,301,Blayne Barber,64.67
Charley Hoffman,0.254,Corey Conners,0.275,Byeong Hun An,0.167,David Lingmerth,0.229,Charles Howell III,300.9,Michael Thompson,64.66
Rickie Fowler,0.244,Kevin Na,0.273,Jimmy Walker,0.166,Brandon Harkins,0.225,Shane Lowry,300.7,Chris Kirk,64.64
Cameron Percy,0.241,Rory McIlroy,0.269,Brooks Koepka,0.162,Ian Poulter,0.223,J.T. Poston,300.7,Daniel Berger,64.58
Xander Schauffele,0.24,C.T. Pan,0.267,Peter Uihlein,0.156,Harris English,0.222,Phil Mickelson,300.3,Hudson Swafford,64.57
Keegan Bradley,0.237,Russell Knox,0.263,Russell Knox,0.149,Charles Howell III,0.219,Martin Flores,300,Bronson Burgoon,64.53
Ryan Palmer,0.235,Jason Kokrak,0.257,Patrick Cantlay,0.146,Chesson Hadley,0.208,Chesson Hadley,300,Brice Garnett,64.45
Hudson Swafford,0.225,Shane Lowry,0.245,Hideki Matsuyama,0.143,Zach Johnson,0.206,Beau Hossler,300,Ryan Blaum,64.31
Rory Sabbatini,0.217,Brendan Steele,0.243,Billy Hurley III,0.139,Zac Blair,0.203,Rickie Fowler,299.8,Johnson Wagner,64.25
C.T. Pan,0.215,John Huh,0.24,Kiradech Aphibarnrat,0.135,Cody Gribble,0.201,Louis Oosthuizen,299.8,Kevin Na,64.13
Sean O'Hair,0.211,Ryan Palmer,0.236,Dominic Bozzelli,0.133,William McGirt,0.2,Jordan Spieth,299.8,Zach Johnson,63.88
