Group Size,Par,To Par,Start,End,t/SG**,offset,offset is time from next larger group's par time
1,3,-2,0:00:00,0:06:00,0:01:00,0:01:00,
1,3,-1,0:00:00,0:07:00,,,
1,3,0,0:00:00,0:08:00,,,
1,3,1,0:00:00,0:09:00,,,
1,3,2,0:00:00,0:10:00,,,
1,3,3,0:00:00,0:11:00,,,
1,3,4,0:00:00,0:12:00,,,
1,3,5,0:00:00,0:13:00,,,
1,3,6,0:00:00,0:14:00,,,
1,3,7,0:00:00,0:15:00,,,
1,4,-3,0:00:00,0:09:00,,,
1,4,-2,0:00:00,0:10:00,,,
1,4,-1,0:00:00,0:11:00,,,
1,4,0,0:00:00,0:12:00,,,
1,4,1,0:00:00,0:13:00,,,
1,4,2,0:00:00,0:14:00,,,
1,4,3,0:00:00,0:15:00,,,
1,4,4,0:00:00,0:16:00,,,
1,4,5,0:00:00,0:17:00,,,
1,4,6,0:00:00,0:18:00,,,
1,5,-4,0:00:00,0:12:00,,,
1,5,-3,0:00:00,0:13:00,,,
1,5,-2,0:00:00,0:14:00,,,
1,5,-1,0:00:00,0:15:00,,,
1,5,0,0:00:00,0:16:00,,,
1,5,1,0:00:00,0:17:00,,,
1,5,2,0:00:00,0:18:00,,,
1,5,3,0:00:00,0:19:00,,,
1,5,4,0:00:00,0:20:00,,,
1,5,5,0:00:00,0:21:00,,,
2,3,-2,0:00:00,0:07:00,,,
2,3,-1,0:00:00,0:08:00,,,
2,3,0,0:00:00,0:09:00,,,
2,3,1,0:00:00,0:10:00,,,
2,3,2,0:00:00,0:11:00,,,
2,3,3,0:00:00,0:12:00,,,
2,3,4,0:00:00,0:13:00,,,
2,3,5,0:00:00,0:14:00,,,
2,3,6,0:00:00,0:15:00,,,
2,3,7,0:00:00,0:16:00,,,
2,4,-3,0:00:00,0:10:00,,,
2,4,-2,0:00:00,0:11:00,,,
2,4,-1,0:00:00,0:12:00,,,
2,4,0,0:00:00,0:13:00,,,
2,4,1,0:00:00,0:14:00,,,
2,4,2,0:00:00,0:15:00,,,
2,4,3,0:00:00,0:16:00,,,
2,4,4,0:00:00,0:17:00,,,
2,4,5,0:00:00,0:18:00,,,
2,4,6,0:00:00,0:19:00,,,
2,5,-4,0:00:00,0:13:00,,,
2,5,-3,0:00:00,0:14:00,,,
2,5,-2,0:00:00,0:15:00,,,
2,5,-1,0:00:00,0:16:00,,,
2,5,0,0:00:00,0:17:00,,,
2,5,1,0:00:00,0:18:00,,,
2,5,2,0:00:00,0:19:00,,,
2,5,3,0:00:00,0:20:00,,,
2,5,4,0:00:00,0:21:00,,,
2,5,5,0:00:00,0:22:00,,,
3,3,-2,0:00:00,0:08:00,,,
3,3,-1,0:00:00,0:09:00,,,
3,3,0,0:00:00,0:10:00,,,
3,3,1,0:00:00,0:11:00,,,
3,3,2,0:00:00,0:12:00,,,
3,3,3,0:00:00,0:13:00,,,
3,3,4,0:00:00,0:14:00,,,
3,3,5,0:00:00,0:15:00,,,
3,3,6,0:00:00,0:16:00,,,
3,3,7,0:00:00,0:17:00,,,
3,4,-3,0:00:00,0:11:00,,,
3,4,-2,0:00:00,0:12:00,,,
3,4,-1,0:00:00,0:13:00,,,
3,4,0,0:00:00,0:14:00,,,
3,4,1,0:00:00,0:15:00,,,
3,4,2,0:00:00,0:16:00,,,
3,4,3,0:00:00,0:17:00,,,
3,4,4,0:00:00,0:18:00,,,
3,4,5,0:00:00,0:19:00,,,
3,4,6,0:00:00,0:20:00,,,
3,5,-4,0:00:00,0:14:00,,,
3,5,-3,0:00:00,0:15:00,,,
3,5,-2,0:00:00,0:16:00,,,
3,5,-1,0:00:00,0:17:00,,,
3,5,0,0:00:00,0:18:00,,,
3,5,1,0:00:00,0:19:00,,,
3,5,2,0:00:00,0:20:00,,,
3,5,3,0:00:00,0:21:00,,,
3,5,4,0:00:00,0:22:00,,,
3,5,5,0:00:00,0:23:00,,,
