Player,OWGR
Justin Thomas,1
Dustin Johnson,2
Jordan Spieth,3
Jon Rahm,4
Justin Rose,5
Rickie Fowler,6
Jason Day,7
Rory McIlroy,8
Hideki Matsuyama,9
Tommy Fleetwood,10
Brooks Koepka,11
Paul Casey,12
Patrick Reed,13
Sergio Garcia,14
Henrik Stenson,15
Marc Leishman,16
Alexander Noren,17
Bubba Watson,18
Phil Mickelson,19
Webb Simpson,20
Tyrrell Hatton,21
Matt Kuchar,22
Xander Schauffele,23
Pat Perez,24
Rafael Cabrera Bello,25
Brian Harman,26
Kevin Kisner,27
Ian Poulter,28
Satoshi Kodaira,29
Charley Hoffman,30
Kiradech Aphibarnrat,31
Tony Finau,32
Francesco Molinari,33
Patrick Cantlay,34
Louis Oosthuizen,35
Branden Grace,36
Gary Woodland,37
Daniel Berger,38
Matthew Fitzpatrick,39
Bryson DeChambeau,40
Cameron Smith,41
Si Woo Kim,42
Charl Schwartzel,43
Ross Fisher,44
Adam Hadwin,45
Alexander Levy,46
Kevin Chappell,47
Kyle Stanley,48
Haotong Li,49
Brendan Steele,50
Jason Dufner,51
Luke List,52
Chez Reavie,53
Russell Henley,54
Dylan Frittelli,55
Jimmy Walker,56
Peter Uihlein,57
Zach Johnson,58
Charles Howell III,59
Thomas Pieters,60
Jhonattan Vegas,61
Chesson Hadley,62
Yusaku Miyazato,63
Patton Kizzire,64
Adam Scott,65
Ryan Moore,66
Emiliano Grillo,67
Bernd Wiesberger,68
Keegan Bradley,69
Paul Dunne,70
Yuta Ikeda,71
Andrew Landry,72
Shubhankar Sharma,73
James Hahn,74
Alexander Bjork,75
Joost Luiten,76
Julian Suri,77
Kevin Na,78
Billy Horschel,79
Tiger Woods,80
Ted Potter Jr.,81
Beau Hossler,82
Shane Lowry,83
Bill Haas,84
Byeong Hun An,85
Brandt Snedeker,86
Jorge Campillo,87
Matt Wallace,88
Sean O'Hair,89
Seungsu Han,90
Ollie Schniederjans,91
Jamie Lovemark,92
Chris Paisley,93
George Coetzee,94
Nick Watney,95
Sung-jae Im,96
Eddie Pepperell,97
Hideto Tanihara,98
Aaron Wise,99
Martin Laird,100
Grayson Murray,101
Adrian Otaegui,102
Austin Cook,103
Lucas Glover,104
Anirban Lahiri,105
Chan Kim,106
Wesley Bryan,107
Kevin Streelman,108
Ryan Palmer,109
J.B. Holmes,110
Wade Ormsby,111
Martin Kaymer,112
Lee Westwood,113
Mike Lorenzo-Vera,114
Jordan L Smith,115
Shugo Imahira,116
Chris Wood,117
Sunghoon Kang,118
Thorbjorn Olesen,119
Brice Garnett,120
Shaun Norris,121
Jason Kokrak,122
Dean Burmester,123
Ryan Fox,124
Pablo Larrazabal,125
Russell Knox,126
Fabrizio Zanotti,127
Andy Sullivan,128
Junggon Hwang,129
Victor Dubuisson,130
Bud Cauley,131
Steve Stricker,132
Joakim Lagergren,133
Paul Peterson,134
Andrew Johnston,135
