Player,Age,Driving Dist,Driving Acc,GIR,Putt,Save
Rory McIlroy,29,319.8,55.5,66.5,1.735,54
Trey Mullinax,26,318.7,55,66.1,1.757,49.1
Tom Lovelady,25,315.9,54.7,67.1,1.774,49.7
Tony Finau,29,315.3,54.6,70.5,1.736,44.5
Luke List,33,314.7,54.7,68.8,1.791,53.1
Dustin Johnson,34,314,58.3,70.6,1.689,51.2
Gary Woodland,34,313.4,63.2,71,1.793,41.8
Brooks Koepka,28,313,56.3,68.3,1.746,54
Bubba Watson,40,312.9,57.8,68.5,1.771,45.5
Keith Mitchell,26,312.6,58.6,69.4,1.788,48.6
Justin Thomas,25,311.9,57.8,69.5,1.707,54.2
Brendan Steele,35,310.6,60,69.7,1.806,48.4
Kevin Tway,30,310.1,52.6,66.9,1.773,49.4
Jason Day,31,309.7,58.1,66,1.712,60.9
Jason Kokrak,33,309.5,58.1,70.4,1.776,40.9
Jon Rahm,24,309.5,59.2,70.8,1.739,47.5
Kevin Chappell,32,308.8,61.1,67.3,1.789,44.5
Byeong Hun An,27,308.2,60,68.6,1.783,51.2
Harold Varner III,28,308.2,58.7,68.1,1.785,52
Robert Garrigus,41,307.9,56.4,65.3,1.785,43.2
Nick Watney,37,307.5,56.3,68,1.755,43.8
Grayson Murray,25,307.3,56,62.5,1.759,43.9
Tommy Fleetwood,27,306.9,63.6,69.4,1.742,52.2
J.B. Holmes,36,306.1,57.1,65.3,1.765,54.5
Bryson DeChambeau,25,305.5,61.9,70.1,1.754,49.6
Adam Schenk,26,305.5,57.7,67.9,1.805,42.4
Ryan Palmer,42,305.2,59.1,65.6,1.754,46.2
Xander Schauffele,25,304.6,59.1,65.8,1.764,48.9
Adam Scott,38,304.6,62.5,71.2,1.797,50.8
Paul Casey,41,304.3,62.8,68.2,1.769,53.3
Matt Jones,38,304.2,59,67.3,1.762,50.5
Justin Rose,38,303.7,64.9,70.4,1.723,61.3
Patrick Cantlay,26,303.6,61.5,71.1,1.775,53.8
Tiger Woods,42,303.4,59,68.1,1.743,49.5
Patrick Rodgers,26,303.4,60.9,65.9,1.764,52.5
Corey Conners,26,303.3,63,70.2,1.797,44.3
Jamie Lovemark,30,303.2,56.9,64.6,1.751,53.3
Brandon Harkins,32,303.1,54.8,65.7,1.745,53.4
Jhonattan Vegas,34,303.1,57.2,65.5,1.803,40.4
Aaron Wise,22,302.9,63.4,69.4,1.746,48.9
Sam Saunders,31,302.8,60.1,65,1.74,51.7
Hudson Swafford,31,302.8,64.6,69,1.81,51.5
Bronson Burgoon,31,302.8,64.5,68.4,1.778,45.9
Sean O'Hair,36,302.7,60.1,63.8,1.778,51.1
Seamus Power,31,302.6,55.2,65.2,1.778,60.9
Harris English,29,302.4,59,63.3,1.764,44.7
Lanto Griffin,30,302.4,54.5,67.8,1.77,50.9
Hideki Matsuyama,26,302,61.7,69.8,1.747,53.4
Peter Uihlein,29,302,52.4,68.2,1.78,56.6
Ollie Schniederjans,25,301.7,52.3,63.3,1.729,50.3
Matt Atkins,27,301.4,57.5,63.5,1.788,45.7
Cody Gribble,28,301,55.4,62.5,1.759,48.7
Francesco Molinari,36,301,64.3,70.8,1.776,50.9
J.T. Poston,25,300.7,61.5,68.3,1.747,50
Phil Mickelson,48,300.7,51.6,65,1.693,59.5
Charles Howell III,39,300.6,62.5,69.8,1.781,55.8
Rickie Fowler,29,300.6,64.5,69.8,1.74,60.9
Shane Lowry,31,300.3,61,68.7,1.784,51.7
Beau Hossler,23,300,60.5,67.9,1.748,54.2
Martin Flores,36,300,54.9,66.3,1.772,40.6
Chesson Hadley,31,300,60.2,68.1,1.738,47.3
Jordan Spieth,25,299.7,61.3,70.7,1.755,51.8
Scott Stallings,33,299.7,56,65.9,1.787,56.7
Shawn Stefani,36,299.6,56.5,67.5,1.78,47.5
Keegan Bradley,32,299.5,67.9,69.4,1.781,46.5
Louis Oosthuizen,36,299.5,63.3,66,1.798,63.7
Charl Schwartzel,34,299.5,54.9,61.6,1.779,48.9
Stephan Jaeger,29,299.2,58.8,67.1,1.79,47
